MidPoint,Noise mV,Average Temperature (°C),PZEM Voltage,PZEM Current,PZEM Power,PZEM Energy,PZEM Frequency,PZEM PF
549,21,40.08,233.3,0.25,59.5,0.058,50,1
549,21,42.52,233.3,0.25,59.5,0.058,50,1
549,21,32.75,233.3,0.25,59.5,0.058,50,1
549,21,32.75,233.1,0.25,59.5,0.058,50,1
549,21,32.75,233.1,0.25,59.5,0.058,50,1
549,21,32.75,233.1,0.25,59.4,0.058,50,1
549,21,32.75,233.1,0.25,59.4,0.058,50,1
549,21,32.75,233.1,0.25,59.4,0.058,50,1
549,21,32.75,233.1,0.25,59.4,0.058,50,1
549,21,43.5,233.1,0.25,59.4,0.058,50,1
549,21,40.44,233.1,0.25,59.4,0.058,50,1
549,21,39.22,233.1,0.25,59.4,0.058,50,1
549,21,39.22,233.4,0.25,59.4,0.058,50,1
549,21,39.22,233.4,0.25,59.4,0.058,50,1
549,21,39.22,233.4,0.25,59.6,0.058,50,1
549,21,39.22,233.4,0.25,59.6,0.058,50,1
549,21,39.22,233.4,0.25,59.6,0.058,50,1
549,21,39.22,233.4,0.25,59.6,0.058,50,1
549,21,41.54,233.4,0.25,59.6,0.058,50,1
549,21,36.17,233.4,0.25,59.6,0.058,50,1
549,21,36.17,233.4,0.25,59.6,0.058,50,1
549,21,36.17,233.4,0.25,59.6,0.058,50,1
549,21,36.17,233.4,0.25,59.6,0.058,50,1
549,21,36.17,233.4,0.25,59.6,0.058,50,1
549,21,36.17,233.4,0.25,59.6,0.058,50,1
549,21,36.17,233.4,0.25,59.6,0.058,50,1
549,21,41.54,233.4,0.25,59.6,0.058,50,1
549,21,34.95,233.4,0.25,59.6,0.058,50,1
549,21,39.47,233.4,0.25,59.6,0.058,50,1
549,21,43.5,233.4,0.25,59.6,0.058,50,1
549,21,26.15,233.4,0.25,59.6,0.058,50,1
549,21,41.54,233.4,0.25,59.6,0.058,50,1
549,21,41.3,233.4,0.25,59.6,0.058,50,1
549,21,41.54,233.4,0.25,59.6,0.058,50,1
549,21,33.6,233.4,0.25,59.6,0.058,50,1
549,21,41.06,233.4,0.25,59.6,0.058,50,1
549,21,41.42,233.4,0.25,59.6,0.058,50,1
549,21,40.57,233.4,0.25,59.6,0.058,50,1
549,21,40.57,233.4,0.25,52.3,0.058,50,1
549,21,40.57,233.4,0.25,52.3,0.058,50,1
549,21,40.57,233.4,0.25,52.3,0.058,160.5,1
549,21,40.57,233.4,0.25,52.3,0.058,160.5,1
549,21,28.35,233.4,0.25,52.3,0.058,160.5,1
549,21,41.06,233.4,0.25,52.3,0.058,160.5,1
549,21,41.06,233,0.25,52.3,0.058,160.5,1
549,21,41.06,233,0.04,52.3,0.058,160.5,1
549,21,41.06,233,0.04,8.8,0.058,160.5,1
549,21,41.06,233,0.04,8.8,0.058,160.5,1
549,21,41.06,233,0.04,8.8,0.058,50,1
549,21,41.06,233,0.04,8.8,0.058,50,0.97
549,21,41.54,233,0.04,8.8,0.058,50,0.97
549,21,23.7,233,0.04,8.8,0.058,50,0.97
549,21,38.86,233,0.04,8.8,0.058,50,0.97
549,21,38.86,232.3,0.04,8.8,0.058,50,0.97
549,21,38.86,232.3,0.04,8.8,0.058,50,0.97
549,21,38.86,232.3,0.04,8.7,0.058,50,0.97
549,21,38.86,232.3,0.04,8.7,0.058,50,0.97
549,21,38.86,232.3,0.04,8.7,0.058,50,0.97
549,21,38.86,232.3,0.04,8.7,0.058,50,0.96
549,21,25.66,232.3,0.04,8.7,0.058,50,0.96
549,21,41.06,232.3,0.04,8.7,0.058,50,0.96
549,21,41.06,232.6,0.04,8.7,0.058,50,0.96
549,21,41.06,232.6,0.04,8.7,0.058,50,0.96
549,21,41.06,232.6,0.04,8.7,0.058,50,0.96
549,21,41.06,232.6,0.04,8.7,0.058,50,0.96
549,21,41.06,232.6,0.04,8.7,0.058,50,0.96
549,21,41.06,232.6,0.04,8.7,0.058,50,0.98
549,21,42.03,232.6,0.04,8.7,0.058,50,0.98
549,21,28.35,232.6,0.04,8.7,0.058,50,0.98
549,21,28.35,232.6,0.04,8.7,0.058,50,0.98
549,21,28.35,232.6,0.04,8.7,0.058,50,0.98
549,21,28.35,232.6,0.04,8.7,0.058,50,0.98
549,21,28.35,232.6,0.04,8.7,0.058,50,0.98
549,21,28.35,232.6,0.04,8.7,0.058,50,0.98
549,21,28.35,232.6,0.04,8.7,0.058,50,0.98
549,21,40.32,232.6,0.04,8.7,0.058,50,0.98
549,21,41.3,232.6,0.04,8.7,0.058,50,0.98
549,21,40.44,232.6,0.04,8.7,0.058,50,0.98
549,21,40.44,232.2,0.04,8.7,0.058,50,0.98
549,21,40.44,232.2,0.04,8.7,0.058,50,0.98
549,21,40.44,232.2,0.04,8.7,0.058,50,0.98
549,21,40.44,232.2,0.04,8.7,0.058,50,0.98
549,21,40.44,232.2,0.04,8.7,0.058,50,0.98
549,21,40.44,232.2,0.04,8.7,0.058,50,0.96
549,21,41.54,232.2,0.04,8.7,0.058,50,0.96
549,21,33.72,232.2,0.04,8.7,0.058,50,0.96
549,21,33.72,232.4,0.04,8.7,0.058,50,0.96
549,21,33.72,232.4,0.04,8.7,0.058,50,0.96
549,21,33.72,232.4,0.04,8.6,0.058,50,0.96
549,21,33.72,232.4,0.04,8.6,0.058,50,0.96
549,21,33.72,232.4,0.04,8.6,0.058,50,0.96
549,21,33.72,232.4,0.04,8.6,0.058,50,0.97
549,21,42.52,232.4,0.04,8.6,0.058,50,0.97
549,21,37.63,232.4,0.04,8.6,0.058,50,0.97
549,21,28.1,232.4,0.04,8.6,0.058,50,0.97
549,21,28.1,232.3,0.04,8.6,0.058,50,0.97
549,21,28.1,232.3,0.04,8.6,0.058,50,0.97
549,21,28.1,232.3,0.04,8.7,0.058,50,0.97
549,21,28.1,232.3,0.04,8.7,0.058,50,0.97
549,21,28.1,232.3,0.04,8.7,0.058,50,0.97
549,21,28.1,232.3,0.04,8.7,0.058,50,0.99
549,21,41.3,232.3,0.04,8.7,0.058,50,0.99
549,21,41.18,232.3,0.04,8.7,0.058,50,0.99
549,21,40.2,232.3,0.04,8.7,0.058,50,0.99
549,21,40.2,232.3,0.04,8.7,0.058,50,0.99
549,21,40.2,232.3,0.04,8.7,0.058,50,0.99
549,21,40.2,232.3,0.04,8.7,0.058,50,0.99
549,21,40.2,232.3,0.04,8.7,0.058,50,0.99
549,21,40.2,232.3,0.04,8.7,0.058,50,0.99
549,21,40.2,232.3,0.04,8.7,0.058,50,0.99
549,21,39.96,232.3,0.04,8.7,0.058,50,0.99
549,21,38,232.3,0.04,8.7,0.058,50,0.99
549,21,18.45,232.3,0.04,8.7,0.058,50,0.99
549,21,18.45,232.5,0.04,8.7,0.058,50,0.99
549,21,18.45,232.5,0.04,8.7,0.058,50,0.99
549,21,18.45,232.5,0.04,8.6,0.058,50,0.99
549,21,18.45,232.5,0.04,8.6,0.058,50,0.99
549,21,18.45,232.5,0.04,8.6,0.058,50,0.99
549,21,18.45,232.5,0.04,8.6,0.058,50,0.97
549,21,41.54,232.5,0.04,8.6,0.058,50,0.97
549,21,37.15,232.5,0.04,8.6,0.058,50,0.97
549,21,37.15,232.2,0.04,8.6,0.058,50,0.97
549,21,37.15,232.2,0.04,8.6,0.058,50,0.97
549,21,37.15,232.2,0.04,8.6,0.058,50,0.97
549,21,37.15,232.2,0.04,8.6,0.058,50,0.97
549,21,37.15,232.2,0.04,8.6,0.058,49.9,0.97
549,21,37.15,232.2,0.04,8.6,0.058,49.9,0.97
549,21,41.54,232.2,0.04,8.6,0.058,49.9,0.97
549,21,31.28,232.2,0.04,8.6,0.058,49.9,0.97
549,21,31.28,232.6,0.04,8.6,0.058,49.9,0.97
549,21,31.28,232.6,0.04,8.6,0.058,49.9,0.97
549,21,31.28,232.6,0.04,8.6,0.058,49.9,0.97
549,21,31.28,232.6,0.04,8.6,0.058,49.9,0.97
